j_offset	s_duration	s_measure	s_notes	s_intervals	s_isOnset	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_harmonicRhythm	a_pitchNames	a_bass	a_tenor	a_alto	a_soprano	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2	measureMisalignment	qualityScoreNotes	qualityNonChordTones	qualityMissingChordTones	qualitySquaredSum	incongruentBass
1.875	1.0	1.0	['D3', 'D4', 'F4', 'B-4']	['P1', 'm3', 'm6']	[False, False, False, False]	1.0	1.0	1.0	V	3.0	('D', 'F', 'B-')	D	F	B-	B-	B-	1.0	maj	(2, 5, 10)	A-	E-	5	5	False	['D', 'D', 'F', 'B-', 'D', 'D', 'F', 'B-', 'D', 'D', 'F', 'B-', 'D', 'D', 'F', 'B-', 'D', 'D', 'F', 'B-', 'D', 'D', 'F', 'B-', 'D', 'D', 'F', 'B-', 'D', 'D', 'F', 'B-']	0.0	0.0	0.0	0.0
2.0	1.0	1.0	['E-3', 'D-4', 'G4', 'B-4']	['m7', 'M3', 'P5']	[True, True, True, False]	1.0	1.0	2.0	V7	0.0	('E-', 'G', 'B-', 'D-')	E-	G	B-	D-	E-	0.0	7	(1, 3, 7, 10)	A-	A-	5	None	False	['E-', 'D-', 'G', 'B-', 'E-', 'D-', 'G', 'B-', 'E-', 'D-', 'G', 'B-', 'E-', 'D-', 'G', 'B-', 'E-', 'D-', 'G', 'B-', 'E-', 'D-', 'G', 'B-', 'E-', 'D-', 'G', 'B-', 'E-', 'D-', 'G', 'B-']	0.0	0.0	0.0	0.0
2.125	1.0	1.0	['E-3', 'D-4', 'G4', 'B-4']	['m7', 'M3', 'P5']	[False, False, False, False]	1.0	1.0	2.0	V7	1.0	('E-', 'G', 'B-', 'D-')	E-	G	B-	D-	E-	0.0	7	(1, 3, 7, 10)	A-	A-	5	None	False	['E-', 'D-', 'G', 'B-', 'E-', 'D-', 'G', 'B-', 'E-', 'D-', 'G', 'B-', 'E-', 'D-', 'G', 'B-', 'E-', 'D-', 'G', 'B-', 'E-', 'D-', 'G', 'B-', 'E-', 'D-', 'G', 'B-', 'E-', 'D-', 'G', 'B-']	0.0	0.0	0.0	0.0
2.25	1.0	1.0	['E-3', 'D-4', 'G4', 'B-4']	['m7', 'M3', 'P5']	[False, False, False, False]	1.0	1.0	2.0	V7	2.0	('E-', 'G', 'B-', 'D-')	E-	G	B-	D-	E-	0.0	7	(1, 3, 7, 10)	A-	A-	5	None	False	['E-', 'D-', 'G', 'B-', 'E-', 'D-', 'G', 'B-', 'E-', 'D-', 'G', 'B-', 'E-', 'D-', 'G', 'B-', 'E-', 'D-', 'G', 'B-', 'E-', 'D-', 'G', 'B-', 'E-', 'D-', 'G', 'B-', 'E-', 'D-', 'G', 'B-']	0.0	0.0	0.0	0.0
2.375	1.0	1.0	['E-3', 'D-4', 'G4', 'B-4']	['m7', 'M3', 'P5']	[False, False, False, False]	1.0	1.0	2.0	V7	2.0	('E-', 'G', 'B-', 'D-')	E-	G	B-	D-	E-	0.0	7	(1, 3, 7, 10)	A-	A-	5	None	False	['E-', 'D-', 'G', 'B-', 'E-', 'D-', 'G', 'B-', 'E-', 'D-', 'G', 'B-', 'E-', 'D-', 'G', 'B-', 'E-', 'D-', 'G', 'B-', 'E-', 'D-', 'G', 'B-', 'E-', 'D-', 'G', 'B-', 'E-', 'D-', 'G', 'B-']	0.0	0.0	0.0	0.0
2.5	1.0	1.0	['E-3', 'D-4', 'G4', 'B-4']	['m7', 'M3', 'P5']	[False, False, False, False]	1.0	1.0	2.0	V7	3.0	('E-', 'G', 'B-', 'D-')	E-	G	B-	D-	E-	0.0	7	(1, 3, 7, 10)	A-	A-	5	None	False	['E-', 'D-', 'G', 'B-', 'E-', 'D-', 'G', 'B-', 'E-', 'D-', 'G', 'B-', 'E-', 'D-', 'G', 'B-', 'E-', 'D-', 'G', 'B-', 'E-', 'D-', 'G', 'B-', 'E-', 'D-', 'G', 'B-', 'E-', 'D-', 'G', 'B-']	0.0	0.0	0.0	0.0
2.625	1.0	1.0	['E-3', 'D-4', 'G4', 'B-4']	['m7', 'M3', 'P5']	[False, False, False, False]	1.0	1.0	2.0	V7	3.0	('E-', 'G', 'B-', 'D-')	E-	G	B-	D-	E-	0.0	7	(1, 3, 7, 10)	A-	A-	5	None	False	['E-', 'D-', 'G', 'B-', 'E-', 'D-', 'G', 'B-', 'E-', 'D-', 'G', 'B-', 'E-', 'D-', 'G', 'B-', 'E-', 'D-', 'G', 'B-', 'E-', 'D-', 'G', 'B-', 'E-', 'D-', 'G', 'B-', 'E-', 'D-', 'G', 'B-']	0.0	0.0	0.0	0.0
2.75	1.0	1.0	['E-3', 'D-4', 'G4', 'B-4']	['m7', 'M3', 'P5']	[False, False, False, False]	1.0	1.0	2.0	V7	3.0	('E-', 'G', 'B-', 'D-')	E-	G	B-	D-	E-	0.0	7	(1, 3, 7, 10)	A-	A-	5	None	False	['E-', 'D-', 'G', 'B-', 'E-', 'D-', 'G', 'B-', 'E-', 'D-', 'G', 'B-', 'E-', 'D-', 'G', 'B-', 'E-', 'D-', 'G', 'B-', 'E-', 'D-', 'G', 'B-', 'E-', 'D-', 'G', 'B-', 'E-', 'D-', 'G', 'B-']	0.0	0.0	0.0	0.0
2.875	1.0	1.0	['E-3', 'D-4', 'G4', 'B-4']	['m7', 'M3', 'P5']	[False, False, False, False]	1.0	1.0	2.0	V7	3.0	('E-', 'G', 'B-', 'D-')	E-	G	B-	D-	E-	0.0	7	(1, 3, 7, 10)	A-	A-	5	None	False	['E-', 'D-', 'G', 'B-', 'E-', 'D-', 'G', 'B-', 'E-', 'D-', 'G', 'B-', 'E-', 'D-', 'G', 'B-', 'E-', 'D-', 'G', 'B-', 'E-', 'D-', 'G', 'B-', 'E-', 'D-', 'G', 'B-', 'E-', 'D-', 'G', 'B-']	0.0	0.0	0.0	0.0
3.0	0.5	1.0	['A-3', 'C4', 'A-4']	['M3', 'P1']	[True, True, True]	1.0	0.5	3.0	V	0.0	('A-', 'C', 'E-')	A-	C	E-	A-	A-	0.0	maj	(0, 3, 8)	d-	d-	5	None	False	['A-', 'C', 'A-', 'A-', 'C', 'A-', 'A-', 'C', 'A-', 'A-', 'C', 'A-']	0.0	0.33	0.11	0.0
3.125	0.5	1.0	['A-3', 'C4', 'A-4']	['M3', 'P1']	[False, False, False]	1.0	0.5	3.0	V	1.0	('A-', 'C', 'E-')	A-	C	E-	A-	A-	0.0	maj	(0, 3, 8)	d-	d-	5	None	False	['A-', 'C', 'A-', 'A-', 'C', 'A-', 'A-', 'C', 'A-', 'A-', 'C', 'A-']	0.0	0.33	0.11	0.0
3.25	0.5	1.0	['A-3', 'C4', 'A-4']	['M3', 'P1']	[False, False, False]	1.0	0.5	3.0	V	2.0	('A-', 'C', 'E-')	A-	C	E-	A-	A-	0.0	maj	(0, 3, 8)	d-	d-	5	None	False	['A-', 'C', 'A-', 'A-', 'C', 'A-', 'A-', 'C', 'A-', 'A-', 'C', 'A-']	0.0	0.33	0.11	0.0
3.375	0.5	1.0	['A-3', 'C4', 'A-4']	['M3', 'P1']	[False, False, False]	1.0	0.5	3.0	V	2.0	('A-', 'C', 'E-')	A-	C	E-	A-	A-	0.0	maj	(0, 3, 8)	d-	d-	5	None	False	['A-', 'C', 'A-', 'A-', 'C', 'A-', 'A-', 'C', 'A-', 'A-', 'C', 'A-']	0.0	0.33	0.11	0.0
3.5	0.5	1.0	['A-3', 'C4', 'G-4', 'A-4']	['M3', 'm7', 'P1']	[False, False, True, False]	1.0	0.5	4.0	V7	0.0	('A-', 'C', 'E-', 'G-')	A-	C	E-	G-	A-	0.0	7	(0, 3, 6, 8)	d-	d-	5	None	False	['A-', 'C', 'G-', 'A-', 'A-', 'C', 'G-', 'A-', 'A-', 'C', 'G-', 'A-', 'A-', 'C', 'G-', 'A-']	0.0	0.25	0.06	0.0
3.625	0.5	1.0	['A-3', 'C4', 'G-4', 'A-4']	['M3', 'm7', 'P1']	[False, False, False, False]	1.0	0.5	4.0	V7	1.0	('A-', 'C', 'E-', 'G-')	A-	C	E-	G-	A-	0.0	7	(0, 3, 6, 8)	d-	d-	5	None	False	['A-', 'C', 'G-', 'A-', 'A-', 'C', 'G-', 'A-', 'A-', 'C', 'G-', 'A-', 'A-', 'C', 'G-', 'A-']	0.0	0.25	0.06	0.0
3.75	0.5	1.0	['A-3', 'C4', 'G-4', 'A-4']	['M3', 'm7', 'P1']	[False, False, False, False]	1.0	0.5	4.0	V7	2.0	('A-', 'C', 'E-', 'G-')	A-	C	E-	G-	A-	0.0	7	(0, 3, 6, 8)	d-	d-	5	None	False	['A-', 'C', 'G-', 'A-', 'A-', 'C', 'G-', 'A-', 'A-', 'C', 'G-', 'A-', 'A-', 'C', 'G-', 'A-']	0.0	0.25	0.06	0.0
3.875	0.5	1.0	['A-3', 'C4', 'G-4', 'A-4']	['M3', 'm7', 'P1']	[False, False, False, False]	1.0	0.5	4.0	V7	2.0	('A-', 'C', 'E-', 'G-')	A-	C	E-	G-	A-	0.0	7	(0, 3, 6, 8)	d-	d-	5	None	False	['A-', 'C', 'G-', 'A-', 'A-', 'C', 'G-', 'A-', 'A-', 'C', 'G-', 'A-', 'A-', 'C', 'G-', 'A-']	0.0	0.25	0.06	0.0
4.0	4.0	2.0	['D-3', 'D-4', 'F-4', 'A-4']	['P1', 'm3', 'P5']	[True, True, True, False]	2.0	4.0	5.0	i	0.0	('D-', 'F-', 'A-')	D-	F-	A-	D-	D-	0.0	min	(1, 4, 8)	d-	d-	1	None	False	['D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-']	0.0	0.0	0.0	0.0
4.125	4.0	2.0	['D-3', 'D-4', 'F-4', 'A-4']	['P1', 'm3', 'P5']	[False, False, False, False]	2.0	4.0	5.0	i	1.0	('D-', 'F-', 'A-')	D-	F-	A-	D-	D-	0.0	min	(1, 4, 8)	d-	d-	1	None	False	['D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-']	0.0	0.0	0.0	0.0
4.25	4.0	2.0	['D-3', 'D-4', 'F-4', 'A-4']	['P1', 'm3', 'P5']	[False, False, False, False]	2.0	4.0	5.0	i	2.0	('D-', 'F-', 'A-')	D-	F-	A-	D-	D-	0.0	min	(1, 4, 8)	d-	d-	1	None	False	['D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-']	0.0	0.0	0.0	0.0
4.375	4.0	2.0	['D-3', 'D-4', 'F-4', 'A-4']	['P1', 'm3', 'P5']	[False, False, False, False]	2.0	4.0	5.0	i	2.0	('D-', 'F-', 'A-')	D-	F-	A-	D-	D-	0.0	min	(1, 4, 8)	d-	d-	1	None	False	['D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-']	0.0	0.0	0.0	0.0
4.5	4.0	2.0	['D-3', 'D-4', 'F-4', 'A-4']	['P1', 'm3', 'P5']	[False, False, False, False]	2.0	4.0	5.0	i	3.0	('D-', 'F-', 'A-')	D-	F-	A-	D-	D-	0.0	min	(1, 4, 8)	d-	d-	1	None	False	['D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-']	0.0	0.0	0.0	0.0
4.625	4.0	2.0	['D-3', 'D-4', 'F-4', 'A-4']	['P1', 'm3', 'P5']	[False, False, False, False]	2.0	4.0	5.0	i	3.0	('D-', 'F-', 'A-')	D-	F-	A-	D-	D-	0.0	min	(1, 4, 8)	d-	d-	1	None	False	['D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-', 'D-', 'D-', 'F-', 'A-']	0.0	0.0	0.0	0.0
