j_offset	s_duration	s_measure	s_notes	s_intervals	s_isOnset	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_harmonicRhythm	a_pitchNames	a_bass	a_tenor	a_alto	a_soprano	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2	measureMisalignment	qualityScoreNotes	qualityNonChordTones	qualityMissingChordTones	qualitySquaredSum	incongruentBass
1.25	1.0	1.0	['B3', 'D#4', 'F#4']	['M3', 'P5']	[False, False, False]	1.0	1.0	1.0	V	2.0	('B', 'D#', 'F#')	B	D#	F#	B	B	0.0	maj	(3, 6, 11)	E	E	5	None	False	['B', 'D#', 'F#', 'B', 'D#', 'F#', 'B', 'D#', 'F#', 'B', 'D#', 'F#', 'B', 'D#', 'F#', 'B', 'D#', 'F#', 'B', 'D#', 'F#', 'B', 'D#', 'F#']	0.0	0.0	0.0	0.0
1.375	1.0	1.0	['B3', 'D#4', 'F#4']	['M3', 'P5']	[False, False, False]	1.0	1.0	1.0	V	2.0	('B', 'D#', 'F#')	B	D#	F#	B	B	0.0	maj	(3, 6, 11)	E	E	5	None	False	['B', 'D#', 'F#', 'B', 'D#', 'F#', 'B', 'D#', 'F#', 'B', 'D#', 'F#', 'B', 'D#', 'F#', 'B', 'D#', 'F#', 'B', 'D#', 'F#', 'B', 'D#', 'F#']	0.0	0.0	0.0	0.0
1.5	1.0	1.0	['B3', 'D#4', 'F#4']	['M3', 'P5']	[False, False, False]	1.0	1.0	1.0	V	3.0	('B', 'D#', 'F#')	B	D#	F#	B	B	0.0	maj	(3, 6, 11)	E	E	5	None	False	['B', 'D#', 'F#', 'B', 'D#', 'F#', 'B', 'D#', 'F#', 'B', 'D#', 'F#', 'B', 'D#', 'F#', 'B', 'D#', 'F#', 'B', 'D#', 'F#', 'B', 'D#', 'F#']	0.0	0.0	0.0	0.0
1.625	1.0	1.0	['B3', 'D#4', 'F#4']	['M3', 'P5']	[False, False, False]	1.0	1.0	1.0	V	3.0	('B', 'D#', 'F#')	B	D#	F#	B	B	0.0	maj	(3, 6, 11)	E	E	5	None	False	['B', 'D#', 'F#', 'B', 'D#', 'F#', 'B', 'D#', 'F#', 'B', 'D#', 'F#', 'B', 'D#', 'F#', 'B', 'D#', 'F#', 'B', 'D#', 'F#', 'B', 'D#', 'F#']	0.0	0.0	0.0	0.0
1.75	1.0	1.0	['B3', 'D#4', 'F#4']	['M3', 'P5']	[False, False, False]	1.0	1.0	1.0	V	3.0	('B', 'D#', 'F#')	B	D#	F#	B	B	0.0	maj	(3, 6, 11)	E	E	5	None	False	['B', 'D#', 'F#', 'B', 'D#', 'F#', 'B', 'D#', 'F#', 'B', 'D#', 'F#', 'B', 'D#', 'F#', 'B', 'D#', 'F#', 'B', 'D#', 'F#', 'B', 'D#', 'F#']	0.0	0.0	0.0	0.0
1.875	1.0	1.0	['B3', 'D#4', 'F#4']	['M3', 'P5']	[False, False, False]	1.0	1.0	1.0	V	3.0	('B', 'D#', 'F#')	B	D#	F#	B	B	0.0	maj	(3, 6, 11)	E	E	5	None	False	['B', 'D#', 'F#', 'B', 'D#', 'F#', 'B', 'D#', 'F#', 'B', 'D#', 'F#', 'B', 'D#', 'F#', 'B', 'D#', 'F#', 'B', 'D#', 'F#', 'B', 'D#', 'F#']	0.0	0.0	0.0	0.0
2.0	2.0	1.0	['E3', 'B3', 'E4', 'G#4']	['P5', 'P1', 'M3']	[True, False, True, True]	1.0	2.0	2.0	I	0.0	('E', 'G#', 'B')	E	G#	B	E	E	0.0	maj	(4, 8, 11)	E	E	1	None	False	['E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#']	0.0	0.0	0.0	0.0
2.125	2.0	1.0	['E3', 'B3', 'E4', 'G#4']	['P5', 'P1', 'M3']	[False, False, False, False]	1.0	2.0	2.0	I	1.0	('E', 'G#', 'B')	E	G#	B	E	E	0.0	maj	(4, 8, 11)	E	E	1	None	False	['E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#']	0.0	0.0	0.0	0.0
2.25	2.0	1.0	['E3', 'B3', 'E4', 'G#4']	['P5', 'P1', 'M3']	[False, False, False, False]	1.0	2.0	2.0	I	2.0	('E', 'G#', 'B')	E	G#	B	E	E	0.0	maj	(4, 8, 11)	E	E	1	None	False	['E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#']	0.0	0.0	0.0	0.0
2.375	2.0	1.0	['E3', 'B3', 'E4', 'G#4']	['P5', 'P1', 'M3']	[False, False, False, False]	1.0	2.0	2.0	I	2.0	('E', 'G#', 'B')	E	G#	B	E	E	0.0	maj	(4, 8, 11)	E	E	1	None	False	['E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#']	0.0	0.0	0.0	0.0
2.5	2.0	1.0	['E3', 'B3', 'E4', 'G#4']	['P5', 'P1', 'M3']	[False, False, False, False]	1.0	2.0	2.0	I	3.0	('E', 'G#', 'B')	E	G#	B	E	E	0.0	maj	(4, 8, 11)	E	E	1	None	False	['E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#']	0.0	0.0	0.0	0.0
2.625	2.0	1.0	['E3', 'B3', 'E4', 'G#4']	['P5', 'P1', 'M3']	[False, False, False, False]	1.0	2.0	2.0	I	3.0	('E', 'G#', 'B')	E	G#	B	E	E	0.0	maj	(4, 8, 11)	E	E	1	None	False	['E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#']	0.0	0.0	0.0	0.0
2.75	2.0	1.0	['E3', 'B3', 'E4', 'G#4']	['P5', 'P1', 'M3']	[False, False, False, False]	1.0	2.0	2.0	I	3.0	('E', 'G#', 'B')	E	G#	B	E	E	0.0	maj	(4, 8, 11)	E	E	1	None	False	['E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#']	0.0	0.0	0.0	0.0
2.875	2.0	1.0	['E3', 'B3', 'E4', 'G#4']	['P5', 'P1', 'M3']	[False, False, False, False]	1.0	2.0	2.0	I	3.0	('E', 'G#', 'B')	E	G#	B	E	E	0.0	maj	(4, 8, 11)	E	E	1	None	False	['E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#']	0.0	0.0	0.0	0.0
3.0	2.0	1.0	['E3', 'B3', 'E4', 'G#4']	['P5', 'P1', 'M3']	[False, False, False, False]	1.0	2.0	2.0	I	4.0	('E', 'G#', 'B')	E	G#	B	E	E	0.0	maj	(4, 8, 11)	E	E	1	None	False	['E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#']	0.0	0.0	0.0	0.0
3.125	2.0	1.0	['E3', 'B3', 'E4', 'G#4']	['P5', 'P1', 'M3']	[False, False, False, False]	1.0	2.0	2.0	I	4.0	('E', 'G#', 'B')	E	G#	B	E	E	0.0	maj	(4, 8, 11)	E	E	1	None	False	['E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#']	0.0	0.0	0.0	0.0
3.25	2.0	1.0	['E3', 'B3', 'E4', 'G#4']	['P5', 'P1', 'M3']	[False, False, False, False]	1.0	2.0	2.0	I	4.0	('E', 'G#', 'B')	E	G#	B	E	E	0.0	maj	(4, 8, 11)	E	E	1	None	False	['E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#']	0.0	0.0	0.0	0.0
3.375	2.0	1.0	['E3', 'B3', 'E4', 'G#4']	['P5', 'P1', 'M3']	[False, False, False, False]	1.0	2.0	2.0	I	4.0	('E', 'G#', 'B')	E	G#	B	E	E	0.0	maj	(4, 8, 11)	E	E	1	None	False	['E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#']	0.0	0.0	0.0	0.0
3.5	2.0	1.0	['E3', 'B3', 'E4', 'G#4']	['P5', 'P1', 'M3']	[False, False, False, False]	1.0	2.0	2.0	I	4.0	('E', 'G#', 'B')	E	G#	B	E	E	0.0	maj	(4, 8, 11)	E	E	1	None	False	['E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#']	0.0	0.0	0.0	0.0
3.625	2.0	1.0	['E3', 'B3', 'E4', 'G#4']	['P5', 'P1', 'M3']	[False, False, False, False]	1.0	2.0	2.0	I	4.0	('E', 'G#', 'B')	E	G#	B	E	E	0.0	maj	(4, 8, 11)	E	E	1	None	False	['E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#']	0.0	0.0	0.0	0.0
3.75	2.0	1.0	['E3', 'B3', 'E4', 'G#4']	['P5', 'P1', 'M3']	[False, False, False, False]	1.0	2.0	2.0	I	4.0	('E', 'G#', 'B')	E	G#	B	E	E	0.0	maj	(4, 8, 11)	E	E	1	None	False	['E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#']	0.0	0.0	0.0	0.0
3.875	2.0	1.0	['E3', 'B3', 'E4', 'G#4']	['P5', 'P1', 'M3']	[False, False, False, False]	1.0	2.0	2.0	I	4.0	('E', 'G#', 'B')	E	G#	B	E	E	0.0	maj	(4, 8, 11)	E	E	1	None	False	['E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#', 'E', 'B', 'E', 'G#']	0.0	0.0	0.0	0.0
