j_offset	s_duration	s_measure	s_notes	s_intervals	s_isOnset	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_harmonicRhythm	a_pitchNames	a_bass	a_tenor	a_alto	a_soprano	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2	measureMisalignment	qualityScoreNotes	qualityNonChordTones	qualityMissingChordTones	qualitySquaredSum	incongruentBass
1.25	1.5	1.0	['A-2', 'E-3', 'A-4', 'C5']	['P5', 'P1', 'M3']	[False, False, False, False]	1.0	3.0	0.0	I	4.0	('A-', 'C', 'E-')	A-	C	E-	A-	A-	0.0	maj	(0, 3, 8)	A-	A-	1	None	False	['A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-']	0.0	0.0	0.0	0.5
1.375	1.5	1.0	['A-2', 'E-3', 'A-4', 'C5']	['P5', 'P1', 'M3']	[False, False, False, False]	1.0	3.0	0.0	I	4.0	('A-', 'C', 'E-')	A-	C	E-	A-	A-	0.0	maj	(0, 3, 8)	A-	A-	1	None	False	['A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-']	0.0	0.0	0.0	0.5
1.5	0.5	1.0	['C3', 'E-3', 'E-4', 'A-4']	['m3', 'm3', 'm6']	[True, True, True, True]	1.0	3.0	0.0	I	4.0	('A-', 'C', 'E-')	A-	C	E-	A-	A-	0.0	maj	(0, 3, 8)	A-	A-	1	None	False	['A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-']	0.0	0.0	0.0	0.5
1.625	0.5	1.0	['C3', 'E-3', 'E-4', 'A-4']	['m3', 'm3', 'm6']	[False, False, False, False]	1.0	3.0	0.0	I	4.0	('A-', 'C', 'E-')	A-	C	E-	A-	A-	0.0	maj	(0, 3, 8)	A-	A-	1	None	False	['A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-']	0.0	0.0	0.0	0.5
1.75	0.5	1.0	['C3', 'E-3', 'E-4', 'A-4']	['m3', 'm3', 'm6']	[False, False, False, False]	1.0	3.0	0.0	I	4.0	('A-', 'C', 'E-')	A-	C	E-	A-	A-	0.0	maj	(0, 3, 8)	A-	A-	1	None	False	['A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-']	0.0	0.0	0.0	0.5
1.875	0.5	1.0	['C3', 'E-3', 'E-4', 'A-4']	['m3', 'm3', 'm6']	[False, False, False, False]	1.0	3.0	0.0	I	4.0	('A-', 'C', 'E-')	A-	C	E-	A-	A-	0.0	maj	(0, 3, 8)	A-	A-	1	None	False	['A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-']	0.0	0.0	0.0	0.5
2.0	0.75	1.0	['C3', 'E-3', 'E-4', 'A-4']	['m3', 'm3', 'm6']	[True, True, True, True]	1.0	3.0	0.0	I	5.0	('A-', 'C', 'E-')	A-	C	E-	A-	A-	0.0	maj	(0, 3, 8)	A-	A-	1	None	False	['A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-']	0.0	0.0	0.0	0.5
2.125	0.75	1.0	['C3', 'E-3', 'E-4', 'A-4']	['m3', 'm3', 'm6']	[False, False, False, False]	1.0	3.0	0.0	I	5.0	('A-', 'C', 'E-')	A-	C	E-	A-	A-	0.0	maj	(0, 3, 8)	A-	A-	1	None	False	['A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-']	0.0	0.0	0.0	0.5
2.25	0.75	1.0	['C3', 'E-3', 'E-4', 'A-4']	['m3', 'm3', 'm6']	[False, False, False, False]	1.0	3.0	0.0	I	5.0	('A-', 'C', 'E-')	A-	C	E-	A-	A-	0.0	maj	(0, 3, 8)	A-	A-	1	None	False	['A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-']	0.0	0.0	0.0	0.5
2.375	0.75	1.0	['C3', 'E-3', 'E-4', 'A-4']	['m3', 'm3', 'm6']	[False, False, False, False]	1.0	3.0	0.0	I	5.0	('A-', 'C', 'E-')	A-	C	E-	A-	A-	0.0	maj	(0, 3, 8)	A-	A-	1	None	False	['A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-']	0.0	0.0	0.0	0.5
2.5	0.75	1.0	['C3', 'E-3', 'E-4', 'A-4']	['m3', 'm3', 'm6']	[False, False, False, False]	1.0	3.0	0.0	I	5.0	('A-', 'C', 'E-')	A-	C	E-	A-	A-	0.0	maj	(0, 3, 8)	A-	A-	1	None	False	['A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-']	0.0	0.0	0.0	0.5
2.625	0.75	1.0	['C3', 'E-3', 'E-4', 'A-4']	['m3', 'm3', 'm6']	[False, False, False, False]	1.0	3.0	0.0	I	5.0	('A-', 'C', 'E-')	A-	C	E-	A-	A-	0.0	maj	(0, 3, 8)	A-	A-	1	None	False	['A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'A-', 'E-', 'A-', 'C', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-', 'C', 'E-', 'E-', 'A-']	0.0	0.0	0.0	0.5
