j_offset	s_duration	s_measure	s_notes	s_intervals	s_isOnset	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_harmonicRhythm	a_pitchNames	a_bass	a_tenor	a_alto	a_soprano	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2	measureMisalignment	qualityScoreNotes	qualityNonChordTones	qualityMissingChordTones	qualitySquaredSum	incongruentBass
0.0	0.25	1.0	['E-3']	[]	[True]	1.0	2.0	0.0	I	0.0	('E-', 'G', 'B-')	E-	G	B-	E-	E-	0.0	maj	(3, 7, 10)	E-	E-	1	None	False	['E-', 'E-', 'E-', 'G', 'E-', 'G', 'E-', 'A-', 'E-', 'A-', 'E-', 'B-', 'E-', 'B-', 'E-', 'A-', 'E-', 'A-', 'E-', 'G', 'E-', 'G', 'E-', 'F', 'E-', 'F', 'E-', 'E-', 'E-', 'E-']	0.2	0.0	0.04	0.0
0.125	0.25	1.0	['E-3']	[]	[False]	1.0	2.0	0.0	I	1.0	('E-', 'G', 'B-')	E-	G	B-	E-	E-	0.0	maj	(3, 7, 10)	E-	E-	1	None	False	['E-', 'E-', 'E-', 'G', 'E-', 'G', 'E-', 'A-', 'E-', 'A-', 'E-', 'B-', 'E-', 'B-', 'E-', 'A-', 'E-', 'A-', 'E-', 'G', 'E-', 'G', 'E-', 'F', 'E-', 'F', 'E-', 'E-', 'E-', 'E-']	0.2	0.0	0.04	0.0
0.25	0.25	1.0	['E-3', 'G4']	['M3']	[False, True]	1.0	2.0	0.0	I	2.0	('E-', 'G', 'B-')	E-	G	B-	E-	E-	0.0	maj	(3, 7, 10)	E-	E-	1	None	False	['E-', 'E-', 'E-', 'G', 'E-', 'G', 'E-', 'A-', 'E-', 'A-', 'E-', 'B-', 'E-', 'B-', 'E-', 'A-', 'E-', 'A-', 'E-', 'G', 'E-', 'G', 'E-', 'F', 'E-', 'F', 'E-', 'E-', 'E-', 'E-']	0.2	0.0	0.04	0.0
0.375	0.25	1.0	['E-3', 'G4']	['M3']	[False, False]	1.0	2.0	0.0	I	2.0	('E-', 'G', 'B-')	E-	G	B-	E-	E-	0.0	maj	(3, 7, 10)	E-	E-	1	None	False	['E-', 'E-', 'E-', 'G', 'E-', 'G', 'E-', 'A-', 'E-', 'A-', 'E-', 'B-', 'E-', 'B-', 'E-', 'A-', 'E-', 'A-', 'E-', 'G', 'E-', 'G', 'E-', 'F', 'E-', 'F', 'E-', 'E-', 'E-', 'E-']	0.2	0.0	0.04	0.0
0.5	0.25	1.0	['E-3', 'A-4']	['P4']	[False, True]	1.0	2.0	0.0	I	3.0	('E-', 'G', 'B-')	E-	G	B-	E-	E-	0.0	maj	(3, 7, 10)	E-	E-	1	None	False	['E-', 'E-', 'E-', 'G', 'E-', 'G', 'E-', 'A-', 'E-', 'A-', 'E-', 'B-', 'E-', 'B-', 'E-', 'A-', 'E-', 'A-', 'E-', 'G', 'E-', 'G', 'E-', 'F', 'E-', 'F', 'E-', 'E-', 'E-', 'E-']	0.2	0.0	0.04	0.0
0.625	0.25	1.0	['E-3', 'A-4']	['P4']	[False, False]	1.0	2.0	0.0	I	3.0	('E-', 'G', 'B-')	E-	G	B-	E-	E-	0.0	maj	(3, 7, 10)	E-	E-	1	None	False	['E-', 'E-', 'E-', 'G', 'E-', 'G', 'E-', 'A-', 'E-', 'A-', 'E-', 'B-', 'E-', 'B-', 'E-', 'A-', 'E-', 'A-', 'E-', 'G', 'E-', 'G', 'E-', 'F', 'E-', 'F', 'E-', 'E-', 'E-', 'E-']	0.2	0.0	0.04	0.0
0.75	0.25	1.0	['E-3', 'B-4']	['P5']	[False, True]	1.0	2.0	0.0	I	3.0	('E-', 'G', 'B-')	E-	G	B-	E-	E-	0.0	maj	(3, 7, 10)	E-	E-	1	None	False	['E-', 'E-', 'E-', 'G', 'E-', 'G', 'E-', 'A-', 'E-', 'A-', 'E-', 'B-', 'E-', 'B-', 'E-', 'A-', 'E-', 'A-', 'E-', 'G', 'E-', 'G', 'E-', 'F', 'E-', 'F', 'E-', 'E-', 'E-', 'E-']	0.2	0.0	0.04	0.0
0.875	0.25	1.0	['E-3', 'B-4']	['P5']	[False, False]	1.0	2.0	0.0	I	3.0	('E-', 'G', 'B-')	E-	G	B-	E-	E-	0.0	maj	(3, 7, 10)	E-	E-	1	None	False	['E-', 'E-', 'E-', 'G', 'E-', 'G', 'E-', 'A-', 'E-', 'A-', 'E-', 'B-', 'E-', 'B-', 'E-', 'A-', 'E-', 'A-', 'E-', 'G', 'E-', 'G', 'E-', 'F', 'E-', 'F', 'E-', 'E-', 'E-', 'E-']	0.2	0.0	0.04	0.0
1.0	0.25	1.0	['E-3', 'A-4']	['P4']	[False, True]	1.0	2.0	0.0	I	4.0	('E-', 'G', 'B-')	E-	G	B-	E-	E-	0.0	maj	(3, 7, 10)	E-	E-	1	None	False	['E-', 'E-', 'E-', 'G', 'E-', 'G', 'E-', 'A-', 'E-', 'A-', 'E-', 'B-', 'E-', 'B-', 'E-', 'A-', 'E-', 'A-', 'E-', 'G', 'E-', 'G', 'E-', 'F', 'E-', 'F', 'E-', 'E-', 'E-', 'E-']	0.2	0.0	0.04	0.0
1.125	0.25	1.0	['E-3', 'A-4']	['P4']	[False, False]	1.0	2.0	0.0	I	4.0	('E-', 'G', 'B-')	E-	G	B-	E-	E-	0.0	maj	(3, 7, 10)	E-	E-	1	None	False	['E-', 'E-', 'E-', 'G', 'E-', 'G', 'E-', 'A-', 'E-', 'A-', 'E-', 'B-', 'E-', 'B-', 'E-', 'A-', 'E-', 'A-', 'E-', 'G', 'E-', 'G', 'E-', 'F', 'E-', 'F', 'E-', 'E-', 'E-', 'E-']	0.2	0.0	0.04	0.0
1.25	0.25	1.0	['E-3', 'G4']	['M3']	[False, True]	1.0	2.0	0.0	I	4.0	('E-', 'G', 'B-')	E-	G	B-	E-	E-	0.0	maj	(3, 7, 10)	E-	E-	1	None	False	['E-', 'E-', 'E-', 'G', 'E-', 'G', 'E-', 'A-', 'E-', 'A-', 'E-', 'B-', 'E-', 'B-', 'E-', 'A-', 'E-', 'A-', 'E-', 'G', 'E-', 'G', 'E-', 'F', 'E-', 'F', 'E-', 'E-', 'E-', 'E-']	0.2	0.0	0.04	0.0
