j_offset	s_duration	s_measure	s_notes	s_intervals	s_isOnset	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_harmonicRhythm	a_pitchNames	a_bass	a_tenor	a_alto	a_soprano	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2	measureMisalignment	qualityScoreNotes	qualityNonChordTones	qualityMissingChordTones	qualitySquaredSum	incongruentBass
0.0	0.5	1.0	['A-3', 'C4', 'E-4']	['M3', 'P5']	[True, True, True]	1.0	3.0	0.0	I	0.0	('A-', 'C', 'E-')	A-	C	E-	A-	A-	0.0	maj	(0, 3, 8)	A-	A-	1	None	False	['A-', 'C', 'E-', 'A-', 'C', 'E-', 'A-', 'C', 'E-', 'A-', 'C', 'E-', 'A-', 'C', 'E-', 'A-', 'A-', 'C', 'E-', 'A-', 'A-', 'C', 'E-', 'G', 'A-', 'C', 'E-', 'G', 'A-', 'A-', 'A-', 'A-', 'C', 'C', 'C', 'C', 'E-', 'E-', 'E-', 'E-', 'A-', 'A-', 'A-', 'A-']	0.05	0.0	0.0	0.33
0.125	0.5	1.0	['A-3', 'C4', 'E-4']	['M3', 'P5']	[False, False, False]	1.0	3.0	0.0	I	1.0	('A-', 'C', 'E-')	A-	C	E-	A-	A-	0.0	maj	(0, 3, 8)	A-	A-	1	None	False	['A-', 'C', 'E-', 'A-', 'C', 'E-', 'A-', 'C', 'E-', 'A-', 'C', 'E-', 'A-', 'C', 'E-', 'A-', 'A-', 'C', 'E-', 'A-', 'A-', 'C', 'E-', 'G', 'A-', 'C', 'E-', 'G', 'A-', 'A-', 'A-', 'A-', 'C', 'C', 'C', 'C', 'E-', 'E-', 'E-', 'E-', 'A-', 'A-', 'A-', 'A-']	0.05	0.0	0.0	0.33
0.25	0.5	1.0	['A-3', 'C4', 'E-4']	['M3', 'P5']	[False, False, False]	1.0	3.0	0.0	I	2.0	('A-', 'C', 'E-')	A-	C	E-	A-	A-	0.0	maj	(0, 3, 8)	A-	A-	1	None	False	['A-', 'C', 'E-', 'A-', 'C', 'E-', 'A-', 'C', 'E-', 'A-', 'C', 'E-', 'A-', 'C', 'E-', 'A-', 'A-', 'C', 'E-', 'A-', 'A-', 'C', 'E-', 'G', 'A-', 'C', 'E-', 'G', 'A-', 'A-', 'A-', 'A-', 'C', 'C', 'C', 'C', 'E-', 'E-', 'E-', 'E-', 'A-', 'A-', 'A-', 'A-']	0.05	0.0	0.0	0.33
0.375	0.5	1.0	['A-3', 'C4', 'E-4']	['M3', 'P5']	[False, False, False]	1.0	3.0	0.0	I	2.0	('A-', 'C', 'E-')	A-	C	E-	A-	A-	0.0	maj	(0, 3, 8)	A-	A-	1	None	False	['A-', 'C', 'E-', 'A-', 'C', 'E-', 'A-', 'C', 'E-', 'A-', 'C', 'E-', 'A-', 'C', 'E-', 'A-', 'A-', 'C', 'E-', 'A-', 'A-', 'C', 'E-', 'G', 'A-', 'C', 'E-', 'G', 'A-', 'A-', 'A-', 'A-', 'C', 'C', 'C', 'C', 'E-', 'E-', 'E-', 'E-', 'A-', 'A-', 'A-', 'A-']	0.05	0.0	0.0	0.33
0.5	0.25	1.0	['A-3', 'C4', 'E-4', 'A-4']	['M3', 'P5', 'P1']	[False, False, False, True]	1.0	3.0	0.0	I	3.0	('A-', 'C', 'E-')	A-	C	E-	A-	A-	0.0	maj	(0, 3, 8)	A-	A-	1	None	False	['A-', 'C', 'E-', 'A-', 'C', 'E-', 'A-', 'C', 'E-', 'A-', 'C', 'E-', 'A-', 'C', 'E-', 'A-', 'A-', 'C', 'E-', 'A-', 'A-', 'C', 'E-', 'G', 'A-', 'C', 'E-', 'G', 'A-', 'A-', 'A-', 'A-', 'C', 'C', 'C', 'C', 'E-', 'E-', 'E-', 'E-', 'A-', 'A-', 'A-', 'A-']	0.05	0.0	0.0	0.33
0.625	0.25	1.0	['A-3', 'C4', 'E-4', 'A-4']	['M3', 'P5', 'P1']	[False, False, False, False]	1.0	3.0	0.0	I	3.0	('A-', 'C', 'E-')	A-	C	E-	A-	A-	0.0	maj	(0, 3, 8)	A-	A-	1	None	False	['A-', 'C', 'E-', 'A-', 'C', 'E-', 'A-', 'C', 'E-', 'A-', 'C', 'E-', 'A-', 'C', 'E-', 'A-', 'A-', 'C', 'E-', 'A-', 'A-', 'C', 'E-', 'G', 'A-', 'C', 'E-', 'G', 'A-', 'A-', 'A-', 'A-', 'C', 'C', 'C', 'C', 'E-', 'E-', 'E-', 'E-', 'A-', 'A-', 'A-', 'A-']	0.05	0.0	0.0	0.33
0.75	0.25	1.0	['A-3', 'C4', 'E-4', 'G4']	['M3', 'P5', 'M7']	[False, False, False, True]	1.0	3.0	0.0	I	3.0	('A-', 'C', 'E-')	A-	C	E-	A-	A-	0.0	maj	(0, 3, 8)	A-	A-	1	None	False	['A-', 'C', 'E-', 'A-', 'C', 'E-', 'A-', 'C', 'E-', 'A-', 'C', 'E-', 'A-', 'C', 'E-', 'A-', 'A-', 'C', 'E-', 'A-', 'A-', 'C', 'E-', 'G', 'A-', 'C', 'E-', 'G', 'A-', 'A-', 'A-', 'A-', 'C', 'C', 'C', 'C', 'E-', 'E-', 'E-', 'E-', 'A-', 'A-', 'A-', 'A-']	0.05	0.0	0.0	0.33
0.875	0.25	1.0	['A-3', 'C4', 'E-4', 'G4']	['M3', 'P5', 'M7']	[False, False, False, False]	1.0	3.0	0.0	I	3.0	('A-', 'C', 'E-')	A-	C	E-	A-	A-	0.0	maj	(0, 3, 8)	A-	A-	1	None	False	['A-', 'C', 'E-', 'A-', 'C', 'E-', 'A-', 'C', 'E-', 'A-', 'C', 'E-', 'A-', 'C', 'E-', 'A-', 'A-', 'C', 'E-', 'A-', 'A-', 'C', 'E-', 'G', 'A-', 'C', 'E-', 'G', 'A-', 'A-', 'A-', 'A-', 'C', 'C', 'C', 'C', 'E-', 'E-', 'E-', 'E-', 'A-', 'A-', 'A-', 'A-']	0.05	0.0	0.0	0.33
1.0	0.5	1.0	['A-4']	[]	[True]	1.0	3.0	0.0	I	4.0	('A-', 'C', 'E-')	A-	C	E-	A-	A-	0.0	maj	(0, 3, 8)	A-	A-	1	None	False	['A-', 'C', 'E-', 'A-', 'C', 'E-', 'A-', 'C', 'E-', 'A-', 'C', 'E-', 'A-', 'C', 'E-', 'A-', 'A-', 'C', 'E-', 'A-', 'A-', 'C', 'E-', 'G', 'A-', 'C', 'E-', 'G', 'A-', 'A-', 'A-', 'A-', 'C', 'C', 'C', 'C', 'E-', 'E-', 'E-', 'E-', 'A-', 'A-', 'A-', 'A-']	0.05	0.0	0.0	0.33
1.125	0.5	1.0	['A-4']	[]	[False]	1.0	3.0	0.0	I	4.0	('A-', 'C', 'E-')	A-	C	E-	A-	A-	0.0	maj	(0, 3, 8)	A-	A-	1	None	False	['A-', 'C', 'E-', 'A-', 'C', 'E-', 'A-', 'C', 'E-', 'A-', 'C', 'E-', 'A-', 'C', 'E-', 'A-', 'A-', 'C', 'E-', 'A-', 'A-', 'C', 'E-', 'G', 'A-', 'C', 'E-', 'G', 'A-', 'A-', 'A-', 'A-', 'C', 'C', 'C', 'C', 'E-', 'E-', 'E-', 'E-', 'A-', 'A-', 'A-', 'A-']	0.05	0.0	0.0	0.33
