j_offset	s_duration	s_measure	s_notes	s_intervals	s_isOnset	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_harmonicRhythm	a_pitchNames	a_bass	a_tenor	a_alto	a_soprano	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2	measureMisalignment	qualityScoreNotes	qualityNonChordTones	qualityMissingChordTones	qualitySquaredSum	incongruentBass
2.875	1.0	1.0	['E-4', 'G4', 'B-4']	['M3', 'P5']	[False, False, False]	1.0	1.0	2.0	I	3.0	('E-', 'G', 'B-')	E-	G	B-	E-	E-	0.0	maj	(3, 7, 10)	E-	E-	1	None	False	['E-', 'G', 'B-', 'E-', 'G', 'B-', 'E-', 'G', 'B-', 'E-', 'G', 'B-', 'E-', 'G', 'B-', 'E-', 'G', 'B-', 'E-', 'G', 'B-', 'E-', 'G', 'B-']	0.0	0.0	0.0	0.0
3.0	3.0	2.0	['B-4', 'D5', 'F5']	['M3', 'P5']	[True, True, True]	2.0	3.0	3.0	V	0.0	('B-', 'D', 'F')	B-	D	F	B-	B-	0.0	maj	(2, 5, 10)	E-	E-	5	None	False	['B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F']	0.0	0.0	0.0	0.0
3.125	3.0	2.0	['B-4', 'D5', 'F5']	['M3', 'P5']	[False, False, False]	2.0	3.0	3.0	V	1.0	('B-', 'D', 'F')	B-	D	F	B-	B-	0.0	maj	(2, 5, 10)	E-	E-	5	None	False	['B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F']	0.0	0.0	0.0	0.0
3.25	3.0	2.0	['B-4', 'D5', 'F5']	['M3', 'P5']	[False, False, False]	2.0	3.0	3.0	V	2.0	('B-', 'D', 'F')	B-	D	F	B-	B-	0.0	maj	(2, 5, 10)	E-	E-	5	None	False	['B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F']	0.0	0.0	0.0	0.0
3.375	3.0	2.0	['B-4', 'D5', 'F5']	['M3', 'P5']	[False, False, False]	2.0	3.0	3.0	V	2.0	('B-', 'D', 'F')	B-	D	F	B-	B-	0.0	maj	(2, 5, 10)	E-	E-	5	None	False	['B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F']	0.0	0.0	0.0	0.0
3.5	3.0	2.0	['B-4', 'D5', 'F5']	['M3', 'P5']	[False, False, False]	2.0	3.0	3.0	V	3.0	('B-', 'D', 'F')	B-	D	F	B-	B-	0.0	maj	(2, 5, 10)	E-	E-	5	None	False	['B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F']	0.0	0.0	0.0	0.0
3.625	3.0	2.0	['B-4', 'D5', 'F5']	['M3', 'P5']	[False, False, False]	2.0	3.0	3.0	V	3.0	('B-', 'D', 'F')	B-	D	F	B-	B-	0.0	maj	(2, 5, 10)	E-	E-	5	None	False	['B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F']	0.0	0.0	0.0	0.0
3.75	3.0	2.0	['B-4', 'D5', 'F5']	['M3', 'P5']	[False, False, False]	2.0	3.0	3.0	V	3.0	('B-', 'D', 'F')	B-	D	F	B-	B-	0.0	maj	(2, 5, 10)	E-	E-	5	None	False	['B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F']	0.0	0.0	0.0	0.0
3.875	3.0	2.0	['B-4', 'D5', 'F5']	['M3', 'P5']	[False, False, False]	2.0	3.0	3.0	V	3.0	('B-', 'D', 'F')	B-	D	F	B-	B-	0.0	maj	(2, 5, 10)	E-	E-	5	None	False	['B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F']	0.0	0.0	0.0	0.0
4.0	3.0	2.0	['B-4', 'D5', 'F5']	['M3', 'P5']	[False, False, False]	2.0	3.0	3.0	V	4.0	('B-', 'D', 'F')	B-	D	F	B-	B-	0.0	maj	(2, 5, 10)	E-	E-	5	None	False	['B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F']	0.0	0.0	0.0	0.0
4.125	3.0	2.0	['B-4', 'D5', 'F5']	['M3', 'P5']	[False, False, False]	2.0	3.0	3.0	V	4.0	('B-', 'D', 'F')	B-	D	F	B-	B-	0.0	maj	(2, 5, 10)	E-	E-	5	None	False	['B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F']	0.0	0.0	0.0	0.0
4.25	3.0	2.0	['B-4', 'D5', 'F5']	['M3', 'P5']	[False, False, False]	2.0	3.0	3.0	V	4.0	('B-', 'D', 'F')	B-	D	F	B-	B-	0.0	maj	(2, 5, 10)	E-	E-	5	None	False	['B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F']	0.0	0.0	0.0	0.0
4.375	3.0	2.0	['B-4', 'D5', 'F5']	['M3', 'P5']	[False, False, False]	2.0	3.0	3.0	V	4.0	('B-', 'D', 'F')	B-	D	F	B-	B-	0.0	maj	(2, 5, 10)	E-	E-	5	None	False	['B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F']	0.0	0.0	0.0	0.0
4.5	3.0	2.0	['B-4', 'D5', 'F5']	['M3', 'P5']	[False, False, False]	2.0	3.0	3.0	V	4.0	('B-', 'D', 'F')	B-	D	F	B-	B-	0.0	maj	(2, 5, 10)	E-	E-	5	None	False	['B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F']	0.0	0.0	0.0	0.0
4.625	3.0	2.0	['B-4', 'D5', 'F5']	['M3', 'P5']	[False, False, False]	2.0	3.0	3.0	V	4.0	('B-', 'D', 'F')	B-	D	F	B-	B-	0.0	maj	(2, 5, 10)	E-	E-	5	None	False	['B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F']	0.0	0.0	0.0	0.0
4.75	3.0	2.0	['B-4', 'D5', 'F5']	['M3', 'P5']	[False, False, False]	2.0	3.0	3.0	V	4.0	('B-', 'D', 'F')	B-	D	F	B-	B-	0.0	maj	(2, 5, 10)	E-	E-	5	None	False	['B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F']	0.0	0.0	0.0	0.0
4.875	3.0	2.0	['B-4', 'D5', 'F5']	['M3', 'P5']	[False, False, False]	2.0	3.0	3.0	V	4.0	('B-', 'D', 'F')	B-	D	F	B-	B-	0.0	maj	(2, 5, 10)	E-	E-	5	None	False	['B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F']	0.0	0.0	0.0	0.0
5.0	3.0	2.0	['B-4', 'D5', 'F5']	['M3', 'P5']	[False, False, False]	2.0	3.0	3.0	V	5.0	('B-', 'D', 'F')	B-	D	F	B-	B-	0.0	maj	(2, 5, 10)	E-	E-	5	None	False	['B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F', 'B-', 'D', 'F']	0.0	0.0	0.0	0.0
