j_offset	s_duration	s_measure	s_notes	s_intervals	s_isOnset	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_harmonicRhythm	a_pitchNames	a_bass	a_tenor	a_alto	a_soprano	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2	measureMisalignment	qualityScoreNotes	qualityNonChordTones	qualityMissingChordTones	qualitySquaredSum	incongruentBass
0.0	1.0	1.0	['A4', 'C5', 'E5']	['m3', 'P5']	[True, True, True]	1.0	1.0	0.0	i	0.0	('A', 'C', 'E')	A	C	E	A	A	0.0	min	(0, 4, 9)	a	a	1	None	False	['A', 'C', 'E', 'A', 'C', 'E', 'A', 'C', 'E', 'A', 'C', 'E', 'A', 'C', 'E', 'A', 'C', 'E', 'A', 'C', 'E', 'A', 'C', 'E']	0.0	0.0	0.0	0.0
0.125	1.0	1.0	['A4', 'C5', 'E5']	['m3', 'P5']	[False, False, False]	1.0	1.0	0.0	i	1.0	('A', 'C', 'E')	A	C	E	A	A	0.0	min	(0, 4, 9)	a	a	1	None	False	['A', 'C', 'E', 'A', 'C', 'E', 'A', 'C', 'E', 'A', 'C', 'E', 'A', 'C', 'E', 'A', 'C', 'E', 'A', 'C', 'E', 'A', 'C', 'E']	0.0	0.0	0.0	0.0
0.25	1.0	1.0	['A4', 'C5', 'E5']	['m3', 'P5']	[False, False, False]	1.0	1.0	0.0	i	2.0	('A', 'C', 'E')	A	C	E	A	A	0.0	min	(0, 4, 9)	a	a	1	None	False	['A', 'C', 'E', 'A', 'C', 'E', 'A', 'C', 'E', 'A', 'C', 'E', 'A', 'C', 'E', 'A', 'C', 'E', 'A', 'C', 'E', 'A', 'C', 'E']	0.0	0.0	0.0	0.0
0.375	1.0	1.0	['A4', 'C5', 'E5']	['m3', 'P5']	[False, False, False]	1.0	1.0	0.0	i	2.0	('A', 'C', 'E')	A	C	E	A	A	0.0	min	(0, 4, 9)	a	a	1	None	False	['A', 'C', 'E', 'A', 'C', 'E', 'A', 'C', 'E', 'A', 'C', 'E', 'A', 'C', 'E', 'A', 'C', 'E', 'A', 'C', 'E', 'A', 'C', 'E']	0.0	0.0	0.0	0.0
0.5	1.0	1.0	['A4', 'C5', 'E5']	['m3', 'P5']	[False, False, False]	1.0	1.0	0.0	i	3.0	('A', 'C', 'E')	A	C	E	A	A	0.0	min	(0, 4, 9)	a	a	1	None	False	['A', 'C', 'E', 'A', 'C', 'E', 'A', 'C', 'E', 'A', 'C', 'E', 'A', 'C', 'E', 'A', 'C', 'E', 'A', 'C', 'E', 'A', 'C', 'E']	0.0	0.0	0.0	0.0
0.625	1.0	1.0	['A4', 'C5', 'E5']	['m3', 'P5']	[False, False, False]	1.0	1.0	0.0	i	3.0	('A', 'C', 'E')	A	C	E	A	A	0.0	min	(0, 4, 9)	a	a	1	None	False	['A', 'C', 'E', 'A', 'C', 'E', 'A', 'C', 'E', 'A', 'C', 'E', 'A', 'C', 'E', 'A', 'C', 'E', 'A', 'C', 'E', 'A', 'C', 'E']	0.0	0.0	0.0	0.0
0.75	1.0	1.0	['A4', 'C5', 'E5']	['m3', 'P5']	[False, False, False]	1.0	1.0	0.0	i	3.0	('A', 'C', 'E')	A	C	E	A	A	0.0	min	(0, 4, 9)	a	a	1	None	False	['A', 'C', 'E', 'A', 'C', 'E', 'A', 'C', 'E', 'A', 'C', 'E', 'A', 'C', 'E', 'A', 'C', 'E', 'A', 'C', 'E', 'A', 'C', 'E']	0.0	0.0	0.0	0.0
0.875	1.0	1.0	['A4', 'C5', 'E5']	['m3', 'P5']	[False, False, False]	1.0	1.0	0.0	i	3.0	('A', 'C', 'E')	A	C	E	A	A	0.0	min	(0, 4, 9)	a	a	1	None	False	['A', 'C', 'E', 'A', 'C', 'E', 'A', 'C', 'E', 'A', 'C', 'E', 'A', 'C', 'E', 'A', 'C', 'E', 'A', 'C', 'E', 'A', 'C', 'E']	0.0	0.0	0.0	0.0
1.0	1.0	1.0	['G#4', 'B4', 'E5']	['m3', 'm6']	[True, True, True]	1.0	1.0	1.0	N	0.0	('G#', 'B', 'E')	G#	B	E	E	E	1.0	maj	(4, 8, 11)	d#	d#	-2	None	False	['G#', 'B', 'E', 'G#', 'B', 'E', 'G#', 'B', 'E', 'G#', 'B', 'E', 'G#', 'B', 'E', 'G#', 'B', 'E', 'G#', 'B', 'E', 'G#', 'B', 'E']	0.0	0.0	0.0	0.0
1.125	1.0	1.0	['G#4', 'B4', 'E5']	['m3', 'm6']	[False, False, False]	1.0	1.0	1.0	N	1.0	('G#', 'B', 'E')	G#	B	E	E	E	1.0	maj	(4, 8, 11)	d#	d#	-2	None	False	['G#', 'B', 'E', 'G#', 'B', 'E', 'G#', 'B', 'E', 'G#', 'B', 'E', 'G#', 'B', 'E', 'G#', 'B', 'E', 'G#', 'B', 'E', 'G#', 'B', 'E']	0.0	0.0	0.0	0.0
1.25	1.0	1.0	['G#4', 'B4', 'E5']	['m3', 'm6']	[False, False, False]	1.0	1.0	1.0	N	2.0	('G#', 'B', 'E')	G#	B	E	E	E	1.0	maj	(4, 8, 11)	d#	d#	-2	None	False	['G#', 'B', 'E', 'G#', 'B', 'E', 'G#', 'B', 'E', 'G#', 'B', 'E', 'G#', 'B', 'E', 'G#', 'B', 'E', 'G#', 'B', 'E', 'G#', 'B', 'E']	0.0	0.0	0.0	0.0
1.375	1.0	1.0	['G#4', 'B4', 'E5']	['m3', 'm6']	[False, False, False]	1.0	1.0	1.0	N	2.0	('G#', 'B', 'E')	G#	B	E	E	E	1.0	maj	(4, 8, 11)	d#	d#	-2	None	False	['G#', 'B', 'E', 'G#', 'B', 'E', 'G#', 'B', 'E', 'G#', 'B', 'E', 'G#', 'B', 'E', 'G#', 'B', 'E', 'G#', 'B', 'E', 'G#', 'B', 'E']	0.0	0.0	0.0	0.0
1.5	1.0	1.0	['G#4', 'B4', 'E5']	['m3', 'm6']	[False, False, False]	1.0	1.0	1.0	N	3.0	('G#', 'B', 'E')	G#	B	E	E	E	1.0	maj	(4, 8, 11)	d#	d#	-2	None	False	['G#', 'B', 'E', 'G#', 'B', 'E', 'G#', 'B', 'E', 'G#', 'B', 'E', 'G#', 'B', 'E', 'G#', 'B', 'E', 'G#', 'B', 'E', 'G#', 'B', 'E']	0.0	0.0	0.0	0.0
1.625	1.0	1.0	['G#4', 'B4', 'E5']	['m3', 'm6']	[False, False, False]	1.0	1.0	1.0	N	3.0	('G#', 'B', 'E')	G#	B	E	E	E	1.0	maj	(4, 8, 11)	d#	d#	-2	None	False	['G#', 'B', 'E', 'G#', 'B', 'E', 'G#', 'B', 'E', 'G#', 'B', 'E', 'G#', 'B', 'E', 'G#', 'B', 'E', 'G#', 'B', 'E', 'G#', 'B', 'E']	0.0	0.0	0.0	0.0
1.75	1.0	1.0	['G#4', 'B4', 'E5']	['m3', 'm6']	[False, False, False]	1.0	1.0	1.0	N	3.0	('G#', 'B', 'E')	G#	B	E	E	E	1.0	maj	(4, 8, 11)	d#	d#	-2	None	False	['G#', 'B', 'E', 'G#', 'B', 'E', 'G#', 'B', 'E', 'G#', 'B', 'E', 'G#', 'B', 'E', 'G#', 'B', 'E', 'G#', 'B', 'E', 'G#', 'B', 'E']	0.0	0.0	0.0	0.0
1.875	1.0	1.0	['G#4', 'B4', 'E5']	['m3', 'm6']	[False, False, False]	1.0	1.0	1.0	N	3.0	('G#', 'B', 'E')	G#	B	E	E	E	1.0	maj	(4, 8, 11)	d#	d#	-2	None	False	['G#', 'B', 'E', 'G#', 'B', 'E', 'G#', 'B', 'E', 'G#', 'B', 'E', 'G#', 'B', 'E', 'G#', 'B', 'E', 'G#', 'B', 'E', 'G#', 'B', 'E']	0.0	0.0	0.0	0.0
2.0	1.0	1.0	['A#4', 'D#5', 'F#5']	['P4', 'm6']	[True, True, True]	1.0	1.0	2.0	Cad	0.0	('A#', 'D#', 'F#')	A#	D#	F#	D#	D#	2.0	min	(3, 6, 10)	d#	d#	1	None	False	['A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#']	0.0	0.0	0.0	0.0
2.125	1.0	1.0	['A#4', 'D#5', 'F#5']	['P4', 'm6']	[False, False, False]	1.0	1.0	2.0	Cad	1.0	('A#', 'D#', 'F#')	A#	D#	F#	D#	D#	2.0	min	(3, 6, 10)	d#	d#	1	None	False	['A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#']	0.0	0.0	0.0	0.0
2.25	1.0	1.0	['A#4', 'D#5', 'F#5']	['P4', 'm6']	[False, False, False]	1.0	1.0	2.0	Cad	2.0	('A#', 'D#', 'F#')	A#	D#	F#	D#	D#	2.0	min	(3, 6, 10)	d#	d#	1	None	False	['A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#']	0.0	0.0	0.0	0.0
2.375	1.0	1.0	['A#4', 'D#5', 'F#5']	['P4', 'm6']	[False, False, False]	1.0	1.0	2.0	Cad	2.0	('A#', 'D#', 'F#')	A#	D#	F#	D#	D#	2.0	min	(3, 6, 10)	d#	d#	1	None	False	['A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#']	0.0	0.0	0.0	0.0
2.5	1.0	1.0	['A#4', 'D#5', 'F#5']	['P4', 'm6']	[False, False, False]	1.0	1.0	2.0	Cad	3.0	('A#', 'D#', 'F#')	A#	D#	F#	D#	D#	2.0	min	(3, 6, 10)	d#	d#	1	None	False	['A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#']	0.0	0.0	0.0	0.0
2.625	1.0	1.0	['A#4', 'D#5', 'F#5']	['P4', 'm6']	[False, False, False]	1.0	1.0	2.0	Cad	3.0	('A#', 'D#', 'F#')	A#	D#	F#	D#	D#	2.0	min	(3, 6, 10)	d#	d#	1	None	False	['A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#']	0.0	0.0	0.0	0.0
2.75	1.0	1.0	['A#4', 'D#5', 'F#5']	['P4', 'm6']	[False, False, False]	1.0	1.0	2.0	Cad	3.0	('A#', 'D#', 'F#')	A#	D#	F#	D#	D#	2.0	min	(3, 6, 10)	d#	d#	1	None	False	['A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#']	0.0	0.0	0.0	0.0
2.875	1.0	1.0	['A#4', 'D#5', 'F#5']	['P4', 'm6']	[False, False, False]	1.0	1.0	2.0	Cad	3.0	('A#', 'D#', 'F#')	A#	D#	F#	D#	D#	2.0	min	(3, 6, 10)	d#	d#	1	None	False	['A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#']	0.0	0.0	0.0	0.0
3.0	1.0	1.0	['A#4', 'C##5', 'E#5']	['M3', 'P5']	[True, True, True]	1.0	1.0	3.0	V	0.0	('A#', 'C##', 'E#')	A#	C##	E#	A#	A#	0.0	maj	(2, 5, 10)	d#	d#	5	None	False	['A#', 'C##', 'E#', 'A#', 'C##', 'E#', 'A#', 'C##', 'E#', 'A#', 'C##', 'E#', 'A#', 'C##', 'E#', 'A#', 'C##', 'E#', 'A#', 'C##', 'E#', 'A#', 'C##', 'E#']	0.0	0.0	0.0	0.0
3.125	1.0	1.0	['A#4', 'C##5', 'E#5']	['M3', 'P5']	[False, False, False]	1.0	1.0	3.0	V	1.0	('A#', 'C##', 'E#')	A#	C##	E#	A#	A#	0.0	maj	(2, 5, 10)	d#	d#	5	None	False	['A#', 'C##', 'E#', 'A#', 'C##', 'E#', 'A#', 'C##', 'E#', 'A#', 'C##', 'E#', 'A#', 'C##', 'E#', 'A#', 'C##', 'E#', 'A#', 'C##', 'E#', 'A#', 'C##', 'E#']	0.0	0.0	0.0	0.0
3.25	1.0	1.0	['A#4', 'C##5', 'E#5']	['M3', 'P5']	[False, False, False]	1.0	1.0	3.0	V	2.0	('A#', 'C##', 'E#')	A#	C##	E#	A#	A#	0.0	maj	(2, 5, 10)	d#	d#	5	None	False	['A#', 'C##', 'E#', 'A#', 'C##', 'E#', 'A#', 'C##', 'E#', 'A#', 'C##', 'E#', 'A#', 'C##', 'E#', 'A#', 'C##', 'E#', 'A#', 'C##', 'E#', 'A#', 'C##', 'E#']	0.0	0.0	0.0	0.0
3.375	1.0	1.0	['A#4', 'C##5', 'E#5']	['M3', 'P5']	[False, False, False]	1.0	1.0	3.0	V	2.0	('A#', 'C##', 'E#')	A#	C##	E#	A#	A#	0.0	maj	(2, 5, 10)	d#	d#	5	None	False	['A#', 'C##', 'E#', 'A#', 'C##', 'E#', 'A#', 'C##', 'E#', 'A#', 'C##', 'E#', 'A#', 'C##', 'E#', 'A#', 'C##', 'E#', 'A#', 'C##', 'E#', 'A#', 'C##', 'E#']	0.0	0.0	0.0	0.0
3.5	1.0	1.0	['A#4', 'C##5', 'E#5']	['M3', 'P5']	[False, False, False]	1.0	1.0	3.0	V	3.0	('A#', 'C##', 'E#')	A#	C##	E#	A#	A#	0.0	maj	(2, 5, 10)	d#	d#	5	None	False	['A#', 'C##', 'E#', 'A#', 'C##', 'E#', 'A#', 'C##', 'E#', 'A#', 'C##', 'E#', 'A#', 'C##', 'E#', 'A#', 'C##', 'E#', 'A#', 'C##', 'E#', 'A#', 'C##', 'E#']	0.0	0.0	0.0	0.0
3.625	1.0	1.0	['A#4', 'C##5', 'E#5']	['M3', 'P5']	[False, False, False]	1.0	1.0	3.0	V	3.0	('A#', 'C##', 'E#')	A#	C##	E#	A#	A#	0.0	maj	(2, 5, 10)	d#	d#	5	None	False	['A#', 'C##', 'E#', 'A#', 'C##', 'E#', 'A#', 'C##', 'E#', 'A#', 'C##', 'E#', 'A#', 'C##', 'E#', 'A#', 'C##', 'E#', 'A#', 'C##', 'E#', 'A#', 'C##', 'E#']	0.0	0.0	0.0	0.0
3.75	1.0	1.0	['A#4', 'C##5', 'E#5']	['M3', 'P5']	[False, False, False]	1.0	1.0	3.0	V	3.0	('A#', 'C##', 'E#')	A#	C##	E#	A#	A#	0.0	maj	(2, 5, 10)	d#	d#	5	None	False	['A#', 'C##', 'E#', 'A#', 'C##', 'E#', 'A#', 'C##', 'E#', 'A#', 'C##', 'E#', 'A#', 'C##', 'E#', 'A#', 'C##', 'E#', 'A#', 'C##', 'E#', 'A#', 'C##', 'E#']	0.0	0.0	0.0	0.0
3.875	1.0	1.0	['A#4', 'C##5', 'E#5']	['M3', 'P5']	[False, False, False]	1.0	1.0	3.0	V	3.0	('A#', 'C##', 'E#')	A#	C##	E#	A#	A#	0.0	maj	(2, 5, 10)	d#	d#	5	None	False	['A#', 'C##', 'E#', 'A#', 'C##', 'E#', 'A#', 'C##', 'E#', 'A#', 'C##', 'E#', 'A#', 'C##', 'E#', 'A#', 'C##', 'E#', 'A#', 'C##', 'E#', 'A#', 'C##', 'E#']	0.0	0.0	0.0	0.0
4.0	4.0	2.0	['D#4', 'F#4', 'A#4']	['m3', 'P5']	[True, True, True]	2.0	4.0	4.0	i	0.0	('D#', 'F#', 'A#')	D#	F#	A#	D#	D#	0.0	min	(3, 6, 10)	d#	d#	1	None	False	['D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#']	0.0	0.0	0.0	0.0
4.125	4.0	2.0	['D#4', 'F#4', 'A#4']	['m3', 'P5']	[False, False, False]	2.0	4.0	4.0	i	1.0	('D#', 'F#', 'A#')	D#	F#	A#	D#	D#	0.0	min	(3, 6, 10)	d#	d#	1	None	False	['D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#']	0.0	0.0	0.0	0.0
4.25	4.0	2.0	['D#4', 'F#4', 'A#4']	['m3', 'P5']	[False, False, False]	2.0	4.0	4.0	i	2.0	('D#', 'F#', 'A#')	D#	F#	A#	D#	D#	0.0	min	(3, 6, 10)	d#	d#	1	None	False	['D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#', 'D#', 'F#', 'A#']	0.0	0.0	0.0	0.0
