j_offset	s_duration	s_measure	s_notes	s_intervals	s_isOnset	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_harmonicRhythm	a_pitchNames	a_bass	a_tenor	a_alto	a_soprano	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2	measureMisalignment	qualityScoreNotes	qualityNonChordTones	qualityMissingChordTones	qualitySquaredSum	incongruentBass
0.0	1.0	0.0	['C4']	[]	[True]	0.0	1.0	0.0	I	0.0	('F', 'A', 'C')	F	A	C	F	F	0.0	maj	(0, 5, 9)	F	F	1	None	False	['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']	0.0	0.67	0.44	1.0
0.125	1.0	0.0	['C4']	[]	[False]	0.0	1.0	0.0	I	1.0	('F', 'A', 'C')	F	A	C	F	F	0.0	maj	(0, 5, 9)	F	F	1	None	False	['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']	0.0	0.67	0.44	1.0
0.25	1.0	0.0	['C4']	[]	[False]	0.0	1.0	0.0	I	2.0	('F', 'A', 'C')	F	A	C	F	F	0.0	maj	(0, 5, 9)	F	F	1	None	False	['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']	0.0	0.67	0.44	1.0
0.375	1.0	0.0	['C4']	[]	[False]	0.0	1.0	0.0	I	2.0	('F', 'A', 'C')	F	A	C	F	F	0.0	maj	(0, 5, 9)	F	F	1	None	False	['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']	0.0	0.67	0.44	1.0
0.5	1.0	0.0	['C4']	[]	[False]	0.0	1.0	0.0	I	3.0	('F', 'A', 'C')	F	A	C	F	F	0.0	maj	(0, 5, 9)	F	F	1	None	False	['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']	0.0	0.67	0.44	1.0
0.625	1.0	0.0	['C4']	[]	[False]	0.0	1.0	0.0	I	3.0	('F', 'A', 'C')	F	A	C	F	F	0.0	maj	(0, 5, 9)	F	F	1	None	False	['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']	0.0	0.67	0.44	1.0
0.75	1.0	0.0	['C4']	[]	[False]	0.0	1.0	0.0	I	3.0	('F', 'A', 'C')	F	A	C	F	F	0.0	maj	(0, 5, 9)	F	F	1	None	False	['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']	0.0	0.67	0.44	1.0
0.875	1.0	0.0	['C4']	[]	[False]	0.0	1.0	0.0	I	3.0	('F', 'A', 'C')	F	A	C	F	F	0.0	maj	(0, 5, 9)	F	F	1	None	False	['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C']	0.0	0.67	0.44	1.0
1.0	1.0	1.0	['F2', 'F3', 'C4']	['P1', 'P5']	[True, True, False]	1.0	2.0	1.0	I	0.0	('F', 'A', 'C')	F	A	C	F	F	0.0	maj	(0, 5, 9)	F	F	1	None	False	['F', 'F', 'C', 'F', 'F', 'C', 'F', 'F', 'C', 'F', 'F', 'C', 'F', 'F', 'C', 'F', 'F', 'C', 'F', 'F', 'C', 'F', 'F', 'C', 'F', 'C', 'A', 'F', 'C', 'A', 'F', 'C', 'A', 'F', 'C', 'A', 'F', 'C', 'A', 'F', 'C', 'A', 'F', 'C', 'A', 'F', 'C', 'A']	0.0	0.0	0.0	0.0
1.125	1.0	1.0	['F2', 'F3', 'C4']	['P1', 'P5']	[False, False, False]	1.0	2.0	1.0	I	1.0	('F', 'A', 'C')	F	A	C	F	F	0.0	maj	(0, 5, 9)	F	F	1	None	False	['F', 'F', 'C', 'F', 'F', 'C', 'F', 'F', 'C', 'F', 'F', 'C', 'F', 'F', 'C', 'F', 'F', 'C', 'F', 'F', 'C', 'F', 'F', 'C', 'F', 'C', 'A', 'F', 'C', 'A', 'F', 'C', 'A', 'F', 'C', 'A', 'F', 'C', 'A', 'F', 'C', 'A', 'F', 'C', 'A', 'F', 'C', 'A']	0.0	0.0	0.0	0.0
